customer_id,Recommendation_name,Recommendation_date,suggestion_type,purchase_flag
1,Recommend_screenguard,7/2/2021,With phone,0
2,Recommend_screenguard,7/3/2021,With phone,0
3,Recommend_screenguard,7/4/2021,With cover,1
4,Recommend_screenguard,7/5/2021,With phone,0
5,Recommend_screenguard,7/6/2021,With cover,1
6,Recommend_screenguard,7/7/2021,With cover,0
7,Recommend_screenguard,7/8/2021,With cover,1
8,Recommend_screenguard,7/9/2021,With phone,0
9,Recommend_screenguard,7/10/2021,With phone,0
10,Recommend_screenguard,7/11/2021,With phone,0
11,Recommend_screenguard,7/12/2021,With cover,1
12,Recommend_screenguard,7/13/2021,With cover,1
13,Recommend_screenguard,7/14/2021,With cover,1
14,Recommend_screenguard,7/15/2021,With phone,1
15,Recommend_screenguard,7/16/2021,With cover,1
16,Recommend_screenguard,7/17/2021,With phone,0
,,,,
,,,,
19,Recommend_screenguard,7/20/2021,With phone,1
20,Recommend_screenguard,7/21/2021,With phone,1
,,,,
22,Recommend_screenguard,7/23/2021,With cover,1
23,Recommend_screenguard,7/24/2021,With phone,1
24,Recommend_screenguard,7/25/2021,With phone,0
,,,,
26,Recommend_screenguard,7/27/2021,With cover,1
,,,,
28,Recommend_screenguard,7/29/2021,With phone,0
29,Recommend_screenguard,7/30/2021,With phone,0
30,Recommend_screenguard,7/31/2021,With cover,1
31,Recommend_screenguard,8/1/2021,With cover,1
32,Recommend_screenguard,8/2/2021,With phone,1
33,Recommend_screenguard,8/3/2021,With cover,1
34,Recommend_screenguard,8/4/2021,With cover,1
35,Recommend_screenguard,8/5/2021,With cover,1
,,,,
37,Recommend_screenguard,8/7/2021,With phone,1
38,Recommend_screenguard,8/8/2021,With cover,0
39,Recommend_screenguard,8/9/2021,With phone,1
40,Recommend_screenguard,8/10/2021,With phone,1
41,Recommend_screenguard,8/11/2021,With phone,1
42,Recommend_screenguard,8/12/2021,With phone,1
43,Recommend_screenguard,8/13/2021,With phone,1
,,,,
,,,,
46,Recommend_screenguard,8/16/2021,With phone,0
47,Recommend_screenguard,8/17/2021,With phone,0
48,Recommend_screenguard,8/18/2021,With phone,1
49,Recommend_screenguard,8/19/2021,With cover,1
50,Recommend_screenguard,8/20/2021,With cover,1
51,Recommend_screenguard,8/21/2021,With cover,1
52,Recommend_screenguard,8/22/2021,With cover,0
53,Recommend_screenguard,8/23/2021,With cover,1
,,,,
55,Recommend_screenguard,8/25/2021,With cover,1
56,Recommend_screenguard,8/26/2021,With phone,1
57,Recommend_screenguard,8/27/2021,With cover,1
58,Recommend_screenguard,8/28/2021,With phone,0
